CGPA,Aptitude,Communication,Projects,Internship,Certifications,Placement
8.42,92,97,3,No,5,Yes
7.83,83,64,5,No,2,Yes
8.51,36,96,2,No,0,Yes
8.94,51,81,2,Yes,8,Yes
5.5,92,94,10,Yes,7,Yes
6.43,94,86,3,Yes,6,Yes
9.33,80,70,0,No,6,Yes
9.89,86,89,0,Yes,0,Yes
6.44,71,60,8,No,5,Yes
4.68,46,87,3,No,6,Yes
4.58,46,64,5,No,1,No
8.87,45,46,8,Yes,7,Yes
6.7,93,38,3,Yes,5,Yes
8.34,92,44,6,Yes,5,Yes
6.57,55,62,1,Yes,5,Yes
4.95,38,84,10,No,6,Yes
8.43,83,36,1,No,8,Yes
9.08,72,77,5,Yes,5,Yes
5.17,86,80,8,No,0,Yes
8.92,70,66,2,No,7,Yes
7.44,34,90,2,Yes,5,Yes
7.12,58,69,2,Yes,7,Yes
6.32,87,89,4,No,4,Yes
6.67,89,42,9,No,6,Yes
7.87,46,59,0,Yes,6,Yes
6.94,64,60,4,Yes,8,Yes
8.34,40,79,8,Yes,5,Yes
7.98,47,51,5,Yes,2,Yes
8.89,83,49,2,No,4,Yes
7.87,55,67,3,Yes,4,Yes
8.72,87,33,2,Yes,5,Yes
8.91,71,35,1,Yes,0,Yes
4.96,89,85,2,Yes,8,Yes
7.83,60,43,6,Yes,3,Yes
5.44,46,77,6,Yes,7,Yes
6.88,50,48,3,Yes,4,Yes
8.85,94,48,10,Yes,2,Yes
5.78,45,42,4,Yes,0,Yes
8.71,81,59,8,Yes,6,Yes
9.97,39,64,4,No,4,Yes
5.33,56,54,0,Yes,6,Yes
9.87,39,53,7,No,8,Yes
7.49,42,87,10,Yes,2,Yes
5.2,89,68,1,No,7,Yes
6.55,45,59,5,No,4,Yes
5.01,31,74,5,No,7,Yes
5.48,52,72,3,No,2,Yes
8.21,61,84,5,No,2,Yes
7.65,80,98,6,Yes,3,Yes
5.74,59,49,9,No,7,Yes
7.86,30,89,5,No,0,Yes
5.93,64,53,7,Yes,2,Yes
5.19,65,81,8,No,0,Yes
6.81,71,47,1,Yes,7,Yes
6.16,41,76,2,No,4,Yes
7.02,91,35,0,Yes,2,Yes
6.85,43,96,7,Yes,5,Yes
5.22,54,58,0,Yes,1,No
7.27,98,93,4,Yes,5,Yes
8.93,55,96,9,Yes,3,Yes
8.23,54,68,4,No,4,Yes
9.01,71,46,3,Yes,1,Yes
7.99,76,43,9,No,0,Yes
4.61,35,80,5,Yes,2,Yes
9.03,68,82,3,No,4,Yes
6.32,91,62,10,No,5,Yes
6.52,88,93,8,Yes,2,Yes
6.89,36,76,6,No,3,Yes
4.64,59,51,9,Yes,4,Yes
5.25,95,78,6,Yes,0,Yes
9.84,59,50,3,Yes,7,Yes
5.62,80,80,8,Yes,8,Yes
8.07,78,53,9,No,2,Yes
6.47,34,53,6,No,7,Yes
8.43,32,93,0,Yes,6,Yes
8.44,42,46,5,Yes,4,Yes
8.63,86,32,0,Yes,8,Yes
6.31,47,51,7,No,3,Yes
5.1,38,74,10,Yes,2,Yes
7.71,59,47,3,Yes,3,Yes
9.29,64,69,1,Yes,3,Yes
5.91,76,44,3,No,0,Yes
8.36,65,40,10,No,3,Yes
6.34,89,56,8,No,7,Yes
8.8,37,43,1,No,6,Yes
9.11,97,31,8,Yes,5,Yes
5.34,50,68,4,Yes,7,Yes
4.99,94,39,4,No,7,Yes
5.19,47,98,9,No,8,Yes
9.46,93,66,2,Yes,3,Yes
7.0,39,41,7,Yes,7,Yes
8.35,69,71,8,No,8,Yes
8.53,97,43,7,Yes,2,Yes
6.86,89,45,4,Yes,3,Yes
7.87,66,73,2,No,6,Yes
5.86,36,97,6,No,6,Yes
7.97,63,58,4,No,8,Yes
4.89,57,51,8,No,2,Yes
6.06,81,75,3,No,7,Yes
4.54,94,30,3,No,6,No
6.13,68,37,3,No,3,No
4.72,67,48,6,Yes,3,Yes
9.06,32,100,2,Yes,2,Yes
8.82,100,98,8,Yes,0,Yes
5.83,91,97,8,No,2,Yes
9.3,42,33,9,No,3,Yes
6.61,73,94,9,Yes,8,Yes
5.6,67,52,7,Yes,6,Yes
6.22,93,98,7,No,2,Yes
8.73,90,71,1,Yes,5,Yes
4.63,68,93,10,No,0,Yes
8.65,91,88,3,Yes,6,Yes
7.53,78,74,1,Yes,3,Yes
7.39,97,55,2,No,6,Yes
8.12,53,43,0,No,8,Yes
8.16,31,71,10,No,6,Yes
9.39,74,69,7,No,6,Yes
8.57,53,41,6,Yes,5,Yes
8.54,30,82,2,Yes,3,Yes
6.51,64,50,4,Yes,8,Yes
9.2,35,68,4,No,6,Yes
4.85,37,75,1,No,1,No
4.74,95,88,8,Yes,2,Yes
9.36,99,83,4,Yes,8,Yes
8.86,88,82,3,Yes,2,Yes
6.79,93,36,5,No,8,Yes
5.59,47,76,5,No,5,Yes
9.91,35,44,10,Yes,5,Yes
7.32,72,61,7,No,8,Yes
7.59,58,71,10,No,5,Yes
6.83,75,93,7,Yes,1,Yes
7.55,98,67,7,Yes,4,Yes
5.18,93,75,2,No,1,Yes
8.15,57,75,1,No,1,Yes
8.16,85,36,7,Yes,8,Yes
5.81,57,96,2,Yes,0,Yes
4.52,100,50,1,Yes,5,Yes
8.51,60,91,6,No,2,Yes
5.27,60,96,1,No,1,Yes
9.96,38,32,8,Yes,5,Yes
9.35,86,97,6,No,0,Yes
4.86,51,32,6,Yes,3,Yes
9.24,40,67,9,Yes,6,Yes
7.47,88,91,4,Yes,2,Yes
8.59,60,44,9,No,5,Yes
6.59,75,47,5,Yes,0,Yes
9.04,78,40,7,No,8,Yes
8.46,39,100,5,Yes,2,Yes
8.56,78,87,8,No,4,Yes
6.54,95,91,3,No,5,Yes
4.94,70,60,3,Yes,3,Yes
6.38,84,34,7,Yes,7,Yes
4.84,87,35,4,Yes,6,Yes
6.29,65,47,10,Yes,2,Yes
4.89,72,96,3,No,7,Yes
5.67,40,67,4,Yes,6,Yes
9.05,36,42,1,Yes,7,Yes
4.79,59,46,6,Yes,5,Yes
6.09,31,100,3,Yes,5,Yes
7.58,77,75,9,No,6,Yes
5.97,38,32,6,No,0,No
8.91,83,50,5,No,6,Yes
5.27,73,69,3,No,7,Yes
8.99,99,96,5,No,5,Yes
8.45,60,36,5,Yes,2,Yes
7.01,49,33,1,Yes,3,Yes
7.0,42,59,8,Yes,0,Yes
7.34,46,51,10,Yes,6,Yes
5.72,55,93,2,Yes,1,Yes
6.53,60,41,10,No,6,Yes
7.87,37,32,10,No,8,Yes
7.15,34,91,9,No,6,Yes
6.24,60,87,4,No,2,Yes
8.41,52,86,0,No,7,Yes
9.84,51,83,10,No,5,Yes
8.97,90,98,5,No,5,Yes
6.12,97,71,8,No,8,Yes
8.68,78,55,9,Yes,0,Yes
5.52,70,42,9,No,4,Yes
9.89,68,71,9,Yes,4,Yes
9.27,98,65,5,Yes,7,Yes
4.85,75,48,6,Yes,0,Yes
7.85,41,97,9,No,2,Yes
7.65,62,90,1,No,0,Yes
7.1,71,92,10,Yes,7,Yes
8.05,60,72,1,No,6,Yes
8.56,63,52,1,No,8,Yes
6.01,66,58,5,Yes,2,Yes
5.04,68,48,0,No,1,No
8.04,61,90,6,Yes,1,Yes
7.62,74,81,1,Yes,6,Yes
7.17,93,58,6,No,6,Yes
8.56,91,67,3,Yes,7,Yes
7.08,93,68,0,No,8,Yes
6.08,44,72,6,Yes,4,Yes
4.63,44,69,3,Yes,8,Yes
5.3,94,36,3,No,1,Yes
9.29,45,77,7,Yes,1,Yes
9.45,34,73,2,Yes,4,Yes
5.14,70,39,4,No,1,No
8.18,72,80,7,No,3,Yes
6.13,60,59,4,Yes,2,Yes
4.73,78,84,2,No,4,Yes
7.77,56,93,2,No,4,Yes
6.23,72,37,6,No,4,Yes
6.68,95,50,3,Yes,6,Yes
5.26,61,51,7,No,3,Yes
5.95,65,58,7,No,7,Yes
8.63,43,64,9,Yes,3,Yes
5.79,53,59,3,No,1,Yes
8.33,31,99,8,No,5,Yes
8.17,62,99,0,No,5,Yes
8.37,82,62,10,No,5,Yes
4.75,65,48,2,No,1,No
7.16,97,100,5,Yes,3,Yes
5.75,90,31,9,Yes,3,Yes
6.84,74,33,2,No,1,Yes
5.22,100,71,6,Yes,6,Yes
8.24,48,61,4,Yes,0,Yes
9.75,37,90,4,Yes,1,Yes
8.02,80,50,6,No,2,Yes
6.49,71,98,4,Yes,2,Yes
4.57,84,58,4,Yes,1,Yes
6.45,47,56,9,No,8,Yes
4.68,73,35,6,Yes,7,Yes
5.72,79,100,3,Yes,4,Yes
8.79,53,62,5,No,2,Yes
5.93,32,89,1,Yes,7,Yes
4.65,69,97,5,No,3,Yes
4.75,47,58,7,Yes,0,Yes
8.08,46,56,3,Yes,5,Yes
7.92,39,95,10,No,0,Yes
9.84,44,67,0,Yes,4,Yes
9.02,87,83,7,Yes,8,Yes
4.67,77,79,1,Yes,4,Yes
7.32,95,30,6,Yes,3,Yes
5.36,94,49,6,No,5,Yes
7.65,88,42,3,No,5,Yes
5.42,45,66,7,Yes,6,Yes
4.99,46,48,8,No,7,Yes
9.27,89,32,7,Yes,3,Yes
6.72,63,38,3,Yes,2,Yes
8.46,46,96,9,No,3,Yes
6.26,60,82,8,No,2,Yes
5.03,57,49,1,Yes,0,No
9.66,94,42,6,Yes,7,Yes
7.46,37,36,0,Yes,5,Yes
9.22,93,47,2,Yes,6,Yes
6.23,49,86,6,No,5,Yes
9.3,42,96,8,Yes,6,Yes
6.19,80,73,0,Yes,4,Yes
6.15,71,100,7,Yes,0,Yes
8.74,36,43,6,No,1,Yes
5.26,39,48,5,No,0,No
7.09,58,67,7,Yes,7,Yes
7.22,38,48,6,Yes,2,Yes
9.1,75,41,8,No,4,Yes
7.84,64,94,6,Yes,2,Yes
8.8,41,35,4,No,6,Yes
9.62,70,88,5,No,2,Yes
9.09,55,33,0,Yes,5,Yes
9.54,81,91,5,No,5,Yes
8.62,98,69,0,Yes,2,Yes
5.42,87,30,0,Yes,4,Yes
8.1,41,31,3,No,7,Yes
9.13,82,83,4,Yes,0,Yes
6.51,55,93,0,No,0,Yes
6.75,41,84,5,Yes,2,Yes
8.73,65,86,0,No,7,Yes
7.73,39,30,10,Yes,1,Yes
9.84,76,41,4,No,3,Yes
6.69,45,86,5,Yes,6,Yes
6.93,55,51,8,Yes,2,Yes
9.93,32,59,1,No,0,Yes
7.98,67,57,3,No,8,Yes
9.54,67,30,10,Yes,8,Yes
6.49,58,56,4,No,0,Yes
6.21,38,32,9,No,4,Yes
9.03,32,38,1,No,6,Yes
9.16,78,53,9,Yes,0,Yes
7.23,64,64,0,No,0,Yes
6.94,81,78,0,No,3,Yes
9.11,66,49,8,No,5,Yes
6.29,68,48,6,No,2,Yes
4.59,59,31,8,Yes,6,Yes
9.3,98,79,0,No,1,Yes
5.71,32,44,6,Yes,3,Yes
6.71,63,72,7,Yes,8,Yes
9.43,82,78,7,No,0,Yes
5.45,33,64,7,Yes,4,Yes
7.76,33,35,10,Yes,1,Yes
8.02,71,74,3,Yes,7,Yes
8.83,93,61,6,Yes,7,Yes
5.48,61,54,6,No,7,Yes
5.55,78,100,4,No,0,Yes
7.25,51,66,7,No,2,Yes
4.58,67,89,4,No,7,Yes
9.92,34,59,8,Yes,3,Yes
5.97,52,76,6,No,2,Yes
6.28,69,97,5,Yes,0,Yes
6.78,89,65,7,Yes,2,Yes
6.05,46,47,1,No,4,No
5.52,35,79,6,No,1,Yes
5.61,55,77,4,Yes,3,Yes
7.27,47,52,6,Yes,7,Yes
9.44,87,41,9,No,4,Yes
7.78,87,35,8,No,3,Yes
9.58,62,55,7,No,1,Yes
9.94,56,87,5,Yes,5,Yes
8.47,77,52,8,No,6,Yes
6.11,66,72,1,Yes,4,Yes
6.73,60,70,8,Yes,2,Yes
5.52,38,45,6,Yes,6,Yes
9.96,84,52,9,Yes,5,Yes
9.42,45,78,7,Yes,6,Yes
4.85,83,67,9,No,4,Yes
7.17,90,75,0,Yes,8,Yes
7.53,44,69,0,Yes,8,Yes
8.96,67,74,9,No,0,Yes
7.69,93,84,0,No,4,Yes
7.74,39,31,7,No,5,Yes
7.78,54,92,0,Yes,5,Yes
7.03,65,58,9,No,3,Yes
8.67,41,54,2,No,6,Yes
4.89,79,73,4,Yes,2,Yes
9.51,97,52,7,Yes,5,Yes
7.89,90,88,0,No,0,Yes
6.86,61,32,4,Yes,3,Yes
4.7,40,56,5,Yes,8,Yes
8.19,68,56,5,No,8,Yes
9.9,60,77,10,Yes,0,Yes
8.74,86,57,2,Yes,1,Yes
7.64,55,30,2,No,0,Yes
7.22,37,56,8,Yes,7,Yes
4.86,83,31,10,No,8,Yes
8.22,44,55,1,No,8,Yes
9.13,54,100,3,Yes,3,Yes
5.08,42,59,8,Yes,8,Yes
9.33,43,35,9,Yes,8,Yes
6.91,97,31,6,Yes,7,Yes
5.08,93,86,9,Yes,2,Yes
6.45,32,67,5,No,1,Yes
9.71,45,92,7,Yes,7,Yes
4.56,72,65,5,No,6,Yes
5.66,53,70,2,No,1,No
5.81,50,60,9,No,3,Yes
5.13,57,63,4,No,8,Yes
4.83,87,50,4,No,4,Yes
8.74,48,47,7,No,2,Yes
7.59,33,78,7,Yes,8,Yes
6.12,53,87,2,Yes,2,Yes
5.15,63,48,7,Yes,1,Yes
6.5,98,88,8,No,5,Yes
9.56,77,53,7,No,7,Yes
8.3,61,93,5,No,8,Yes
9.04,84,92,9,No,8,Yes
9.51,89,82,1,No,4,Yes
7.84,86,53,8,Yes,1,Yes
7.45,64,75,9,No,6,Yes
9.78,90,100,5,Yes,7,Yes
6.91,42,86,1,No,0,Yes
9.2,100,86,6,No,6,Yes
9.01,46,43,2,Yes,6,Yes
6.96,92,82,7,Yes,0,Yes
7.58,98,60,3,Yes,5,Yes
6.61,99,66,10,No,0,Yes
8.65,87,40,0,No,6,Yes
8.11,84,35,3,No,0,Yes
9.27,72,99,6,No,3,Yes
8.08,66,50,2,Yes,2,Yes
4.85,55,46,0,No,4,No
5.19,60,43,2,No,6,Yes
4.95,49,63,8,No,1,Yes
7.8,83,64,6,Yes,0,Yes
4.98,43,60,10,No,4,Yes
7.63,47,62,1,Yes,2,Yes
5.51,75,41,1,Yes,8,Yes
9.09,77,50,8,Yes,5,Yes
7.52,72,82,2,Yes,1,Yes
6.97,48,84,5,Yes,7,Yes
9.32,56,54,2,Yes,6,Yes
8.19,60,84,6,Yes,6,Yes
8.91,84,61,2,Yes,3,Yes
4.56,75,38,0,No,5,Yes
5.76,83,56,8,Yes,7,Yes
8.06,31,74,4,No,3,Yes
4.59,77,69,1,Yes,3,Yes
8.42,98,72,5,Yes,8,Yes
9.07,82,73,8,Yes,3,Yes
7.64,48,45,1,Yes,4,Yes
8.47,84,32,4,No,5,Yes
8.07,43,54,6,Yes,2,Yes
7.56,87,95,5,No,6,Yes
6.48,81,84,4,No,5,Yes
5.67,46,32,2,Yes,7,Yes
7.48,77,62,2,No,1,Yes
5.02,66,79,4,No,0,Yes
7.82,56,46,4,Yes,5,Yes
9.7,74,73,2,Yes,1,Yes
9.41,43,54,0,Yes,4,Yes
4.93,31,60,5,Yes,7,Yes
5.19,38,35,1,Yes,8,Yes
8.78,42,71,4,No,5,Yes
9.24,93,51,4,No,1,Yes
8.58,33,99,4,No,7,Yes
8.48,30,62,1,No,1,Yes
9.09,57,99,3,Yes,8,Yes
6.09,43,52,9,No,0,Yes
7.49,78,66,9,No,7,Yes
7.4,66,47,0,Yes,3,Yes
6.84,61,62,6,Yes,0,Yes
7.07,62,80,7,No,7,Yes
5.67,74,64,10,No,2,Yes
6.1,38,98,9,Yes,7,Yes
4.8,36,31,2,Yes,8,Yes
5.99,64,80,2,No,0,Yes
9.23,49,87,2,Yes,6,Yes
8.72,67,48,8,Yes,0,Yes
5.49,83,56,8,No,1,Yes
4.93,50,96,5,Yes,0,Yes
8.27,39,38,3,No,7,Yes
8.41,70,76,5,No,2,Yes
5.94,60,88,2,No,0,Yes
9.26,54,52,4,No,1,Yes
6.41,73,52,6,Yes,2,Yes
4.77,94,98,4,Yes,4,Yes
5.03,70,59,10,Yes,0,Yes
9.47,43,59,7,No,3,Yes
5.98,62,30,2,Yes,2,Yes
6.37,92,72,5,Yes,0,Yes
5.93,32,55,9,Yes,4,Yes
8.12,45,50,0,No,4,Yes
9.41,57,73,7,Yes,0,Yes
6.41,77,48,3,No,3,Yes
7.99,75,99,2,Yes,0,Yes
9.8,64,92,1,No,6,Yes
8.96,39,87,1,Yes,1,Yes
6.31,34,92,1,Yes,2,Yes
7.92,80,87,5,Yes,6,Yes
6.56,64,48,0,Yes,7,Yes
9.0,63,80,3,No,1,Yes
6.48,33,59,4,No,1,Yes
7.82,73,50,1,Yes,2,Yes
9.46,38,66,0,No,3,Yes
5.48,65,94,0,Yes,4,Yes
7.25,32,61,8,Yes,0,Yes
4.86,80,66,10,No,3,Yes
7.73,48,48,5,No,2,Yes
5.74,46,89,2,No,1,Yes
8.53,63,92,0,No,4,Yes
5.7,81,75,3,No,2,Yes
9.7,49,70,4,Yes,8,Yes
5.84,68,81,5,No,4,Yes
6.93,80,51,0,Yes,4,Yes
6.01,52,98,4,No,0,Yes
9.33,90,47,0,No,5,Yes
9.48,78,45,9,No,3,Yes
6.48,49,94,3,Yes,8,Yes
7.19,66,57,5,No,5,Yes
8.64,74,88,2,No,7,Yes
9.81,92,59,7,No,1,Yes
6.2,35,34,0,No,4,No
8.79,58,89,8,Yes,7,Yes
8.42,55,51,5,No,2,Yes
8.86,54,88,6,No,6,Yes
8.78,66,62,3,No,7,Yes
9.52,48,73,5,No,3,Yes
9.16,63,96,4,No,3,Yes
9.92,96,30,4,Yes,4,Yes
7.42,34,51,10,Yes,3,Yes
8.13,52,68,6,Yes,6,Yes
8.22,40,98,9,No,3,Yes
8.77,86,88,6,Yes,7,Yes
7.35,77,82,4,No,1,Yes
8.02,35,89,8,Yes,0,Yes
5.01,37,46,1,No,0,No
4.56,86,64,6,No,1,Yes
9.63,73,50,9,Yes,1,Yes
6.19,54,99,9,No,7,Yes
6.53,42,78,5,No,7,Yes
5.34,44,55,7,No,4,Yes
7.98,78,98,7,No,4,Yes
5.92,80,58,8,Yes,3,Yes
7.04,56,64,7,No,8,Yes
8.84,60,99,5,No,1,Yes
9.27,55,76,0,Yes,4,Yes
5.26,95,32,2,Yes,0,Yes
9.49,89,82,5,No,4,Yes
4.76,87,77,3,Yes,4,Yes
7.64,70,64,2,Yes,2,Yes
9.15,38,86,0,No,7,Yes
9.88,81,42,5,Yes,4,Yes
8.22,45,73,6,Yes,6,Yes
8.09,99,89,5,Yes,6,Yes
8.98,68,40,7,Yes,8,Yes
5.68,51,65,6,Yes,8,Yes
8.61,41,37,9,Yes,8,Yes
9.47,61,85,1,No,2,Yes
8.95,78,54,5,No,4,Yes
7.12,48,45,2,Yes,1,Yes
5.21,33,78,0,No,3,No
5.19,43,50,1,Yes,5,Yes
6.87,65,46,10,No,5,Yes
5.12,71,31,4,No,8,Yes
5.13,55,90,9,No,6,Yes
8.95,48,53,0,No,8,Yes
8.44,47,43,8,Yes,2,Yes
4.95,58,93,9,Yes,8,Yes
5.89,68,88,6,Yes,2,Yes
7.56,31,37,3,Yes,6,Yes
5.4,78,36,4,No,2,Yes
4.81,34,91,8,No,7,Yes
4.51,73,50,9,Yes,8,Yes
9.75,51,88,2,No,4,Yes
4.87,60,82,0,Yes,7,Yes
7.13,58,56,5,No,2,Yes
7.11,57,87,10,No,3,Yes
9.39,50,33,5,Yes,5,Yes
5.84,65,31,10,No,1,Yes
6.8,90,36,6,Yes,6,Yes
8.21,43,53,6,Yes,5,Yes
5.53,59,67,6,Yes,3,Yes
7.04,48,38,3,Yes,3,Yes
6.14,88,48,5,Yes,6,Yes
6.3,82,85,1,Yes,6,Yes
6.0,70,44,7,No,7,Yes
9.09,70,84,2,No,5,Yes
8.43,78,85,1,No,3,Yes
6.27,91,38,7,Yes,3,Yes
4.64,69,88,2,No,3,Yes
7.8,55,53,2,Yes,1,Yes
6.54,87,93,2,Yes,5,Yes
5.01,74,44,9,No,0,Yes
6.6,99,83,5,Yes,0,Yes
6.53,92,91,6,Yes,0,Yes
5.99,30,73,9,Yes,7,Yes
9.07,80,92,0,No,0,Yes
8.77,95,44,0,No,4,Yes
7.11,76,91,9,No,6,Yes
8.83,90,62,9,No,1,Yes
4.93,97,33,9,Yes,3,Yes
6.08,51,60,9,Yes,5,Yes
6.8,65,95,10,No,1,Yes
7.97,53,95,0,Yes,5,Yes
7.32,34,97,8,Yes,0,Yes
7.78,95,67,1,Yes,0,Yes
8.19,55,45,5,No,3,Yes
4.85,70,34,5,No,2,Yes
5.33,79,52,5,Yes,8,Yes
4.5,85,44,6,No,0,No
7.2,30,66,0,No,6,Yes
5.64,92,55,10,No,0,Yes
5.49,80,41,2,Yes,0,Yes
8.65,50,80,2,No,0,Yes
4.78,65,40,2,Yes,0,No
4.76,98,45,7,No,8,Yes
6.16,32,47,1,No,8,Yes
5.89,97,89,8,Yes,2,Yes
7.37,67,47,10,No,2,Yes
8.05,78,68,4,No,1,Yes
8.28,94,96,2,No,6,Yes
7.98,51,88,9,No,0,Yes
8.9,76,65,7,No,5,Yes
5.28,89,31,1,Yes,3,Yes
5.25,66,33,0,No,1,No
8.29,51,85,4,Yes,5,Yes
5.41,53,77,5,Yes,7,Yes
9.18,61,93,7,Yes,4,Yes
8.43,33,90,1,No,2,Yes
6.49,50,99,10,No,8,Yes
7.59,52,59,10,No,3,Yes
5.03,47,95,4,No,1,Yes
6.08,68,40,7,No,5,Yes
4.52,43,84,8,No,2,Yes
6.3,33,42,0,Yes,4,No
9.59,90,69,0,Yes,0,Yes
6.86,41,91,3,No,3,Yes
5.93,64,84,0,Yes,5,Yes
6.58,50,52,2,No,3,Yes
5.0,77,43,2,Yes,2,Yes
5.48,85,97,9,No,5,Yes
7.92,54,58,0,No,0,Yes
7.49,34,80,5,Yes,4,Yes
6.4,66,53,3,No,7,Yes
8.42,60,53,2,Yes,3,Yes
5.67,32,40,10,No,7,Yes
4.91,58,63,3,Yes,8,Yes
9.47,50,48,6,No,3,Yes
9.66,84,88,1,Yes,0,Yes
5.54,55,79,2,Yes,8,Yes
7.17,48,66,9,Yes,5,Yes
8.35,76,73,2,Yes,6,Yes
9.63,50,92,0,Yes,0,Yes
9.45,92,45,1,No,6,Yes
8.49,61,49,4,Yes,3,Yes
6.66,41,48,5,Yes,8,Yes
4.93,32,77,6,Yes,5,Yes
5.05,32,73,7,Yes,1,Yes
7.14,73,99,0,Yes,3,Yes
5.97,62,73,6,No,7,Yes
8.33,51,92,9,Yes,5,Yes
7.95,98,43,5,No,5,Yes
8.62,94,70,0,No,7,Yes
9.01,32,49,0,Yes,6,Yes
7.35,56,38,6,No,1,Yes
9.44,56,36,4,No,6,Yes
7.54,90,65,6,No,6,Yes
4.83,43,76,0,No,3,No
9.92,64,99,3,No,0,Yes
6.71,76,90,3,No,4,Yes
9.99,66,72,8,No,3,Yes
5.8,91,57,2,Yes,4,Yes
9.54,31,30,1,No,7,Yes
5.34,96,72,5,Yes,1,Yes
6.61,79,80,1,No,0,Yes
6.81,52,39,3,No,0,Yes
9.78,93,94,7,Yes,7,Yes
6.37,33,89,3,Yes,6,Yes
5.13,56,49,4,No,0,No
4.84,35,98,3,No,8,Yes
8.8,46,92,4,No,4,Yes
8.53,85,90,4,Yes,3,Yes
7.89,99,58,3,Yes,6,Yes
5.12,58,92,6,No,8,Yes
5.17,39,33,8,No,6,Yes
5.41,75,46,2,No,8,Yes
7.74,69,66,7,Yes,6,Yes
9.3,60,69,2,No,5,Yes
7.75,40,92,2,Yes,6,Yes
9.61,66,36,2,Yes,5,Yes
7.47,39,82,3,Yes,1,Yes
8.22,59,82,10,Yes,2,Yes
8.63,46,97,9,No,4,Yes
7.04,78,39,0,Yes,5,Yes
7.98,54,45,10,Yes,3,Yes
7.91,54,45,9,Yes,4,Yes
8.99,56,97,2,Yes,2,Yes
4.66,80,30,6,No,4,Yes
5.76,42,38,10,No,5,Yes
5.68,95,36,6,No,0,Yes
6.49,38,32,1,Yes,4,Yes
5.64,94,75,2,Yes,2,Yes
6.99,45,39,5,Yes,0,Yes
8.04,99,62,3,Yes,5,Yes
